zpid,id,rawHomeStatusCd,marketingStatusSimplifiedCd,imgSrc,hasImage,detailUrl,statusType,statusText,countryCurrency,price,unformattedPrice,address,addressStreet,addressCity,addressState,addressZipcode,isUndisclosedAddress,beds,baths,area,latLong,isZillowOwned,flexFieldText,flexFieldType,hdpData,isSaved,isUserClaimingOwner,isUserConfirmedClaim,pgapt,sgapt,shouldShowZestimateAsPrice,has3DModel,hasVideo,isHomeRec,hasAdditionalAttributions,isFeaturedListing,isShowcaseListing,list,relaxed,info2String,brokerName,carouselPhotos
190876119,190876119,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/2c43e8895564e3dcbedf899ac5e42e0e-p_e.jpg,true,https://www.zillow.com/homedetails/6612-Thistledown-Cir-NE-Canton-OH-44721/190876119_zpid/,FOR_SALE,House for sale,$,"$349,900",349900,"6612 Thistledown Cir NE, Canton, OH 44721",6612 Thistledown Cir NE,Canton,OH,44721,false,4,3,1986,[object Object],false,1 day on Zillow,daysOnZillow,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,Listing provided by MLS Now,Keller Williams Legacy Group Realty,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
35272041,35272041,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/3ba674856d3de15b003b74d47f6f90be-p_e.jpg,true,https://www.zillow.com/homedetails/5235-Nave-St-SW-Canton-OH-44706/35272041_zpid/,FOR_SALE,House for sale,$,"$229,900",229900,"5235 Nave St SW, Canton, OH 44706",5235 Nave St SW,Canton,OH,44706,false,4,2,1703,[object Object],false,"Price cut: $10,000 (Jul 24)",priceCut,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,,Howard Hanna,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
35240697,35240697,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/bae69d7152d7f2f9f791b7a42c7c5590-p_e.jpg,true,https://www.zillow.com/homedetails/4845-Earlscourt-Cir-NW-Canton-OH-44718/35240697_zpid/,FOR_SALE,House for sale,$,"$624,900",624900,"4845 Earlscourt Cir NW, Canton, OH 44718",4845 Earlscourt Cir NW,Canton,OH,44718,false,5,5,4790,[object Object],false,22 hours ago,timeOnInfo,[object Object],false,false,false,ForSale,For Sale (Broker),false,true,false,false,true,false,false,true,false,Listing provided by MLS Now,Keller Williams Legacy Group Realty,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
35198862,35198862,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/57c07b7f727576be24d9cc2f7a1cb5ec-p_e.jpg,true,https://www.zillow.com/homedetails/1233-Deville-Ave-NW-Canton-OH-44708/35198862_zpid/,FOR_SALE,House for sale,$,"$114,900",114900,"1233 Deville Ave NW, Canton, OH 44708",1233 Deville Ave NW,Canton,OH,44708,false,3,2,1346,[object Object],false,"Price cut: $5,000 (Jul 29)",priceCut,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,Listing provided by MLS Now,Hayes Realty,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
35286448,35286448,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/02ebb755415be4ada500e63e021ed850-p_e.jpg,true,https://www.zillow.com/homedetails/2240-39th-St-NW-Canton-OH-44709/35286448_zpid/,FOR_SALE,House for sale,$,"$154,900",154900,"2240 39th St NW, Canton, OH 44709",2240 39th St NW,Canton,OH,44709,false,3,2,1380,[object Object],false,3 days on Zillow,daysOnZillow,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,,Howard Hanna,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
35270300,35270300,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/4dc6399388a568d1e18037b2efe08d86-p_e.jpg,true,https://www.zillow.com/homedetails/1621-Corrib-Ave-NW-Canton-OH-44708/35270300_zpid/,FOR_SALE,House for sale,$,"$235,000",235000,"1621 Corrib Ave NW, Canton, OH 44708",1621 Corrib Ave NW,Canton,OH,44708,false,5,3,,[object Object],false,2 days on Zillow,daysOnZillow,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,,Howard Hanna,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
35272265,35272265,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/24ae465b5af31f4512e27b85c0016f4f-p_e.jpg,true,https://www.zillow.com/homedetails/525-Overdale-Ave-NW-Canton-OH-44708/35272265_zpid/,FOR_SALE,House for sale,$,"$309,900",309900,"525 Overdale Ave NW, Canton, OH 44708",525 Overdale Ave NW,Canton,OH,44708,false,5,3,2392,[object Object],false,22 hours ago,timeOnInfo,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,Listing provided by MLS Now,Keller Williams Legacy Group Realty,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
35283999,35283999,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/7ab3be0297593b3b552df5a59abd0c9a-p_e.jpg,true,https://www.zillow.com/homedetails/2560-Aspen-St-NE-Canton-OH-44721/35283999_zpid/,FOR_SALE,House for sale,$,"$274,000",274000,"2560 Aspen St NE, Canton, OH 44721",2560 Aspen St NE,Canton,OH,44721,false,3,2,2074,[object Object],false,8 days on Zillow,daysOnZillow,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,Listing provided by MLS Now,Keller Williams Legacy Group Realty,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
35213022,35213022,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/dd8d062c55f83f54f5d08d18390c0fc6-p_e.jpg,true,https://www.zillow.com/homedetails/221-47th-St-NW-Canton-OH-44709/35213022_zpid/,FOR_SALE,House for sale,$,"$435,000",435000,"221 47th St NW, Canton, OH 44709",221 47th St NW,Canton,OH,44709,false,5,4,3012,[object Object],false,8 days on Zillow,daysOnZillow,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,,Howard Hanna,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
35231525,35231525,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/03d63c2fdf00394c11bfd49296b0c9b9-p_e.jpg,true,https://www.zillow.com/homedetails/1441-Harbor-Dr-NW-Canton-OH-44708/35231525_zpid/,FOR_SALE,Condo for sale,$,"$249,900",249900,"1441 Harbor Dr NW, Canton, OH 44708",1441 Harbor Dr NW,Canton,OH,44708,false,3,2,1254,[object Object],false,6 days on Zillow,daysOnZillow,[object Object],false,false,false,ForSale,For Sale (Broker),false,false,false,false,true,false,false,true,false,Listing provided by MLS Now,McDowell Homes Real Estate Services,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
